1;0,1;0,0.5;0.5,0.1;0.9,0.1;0.9,0.02;0.98,0.02;0.98,0.02;0.98,0.02;0.98,0.02;0.98,0.02;0.98,0.02;0.98,0.02;0.98
1;0,1;0,0.02;0.98,0.02;0.98,0.02;0.98,0.07;0.93,0.07;0.93,0.07;0.93,0.07;0.93,0.07;0.93,0.07;0.93,0.04;0.96,0.04;0.96
0.15;0.85,0.1;0.9,1;0,0.02;0.98,0.02;0.98,0.07;0.93,0.07;0.93,0.07;0.93,0.07;0.93,0.04;0.96,0.04;0.96,0.04;0.5,0.04;0.5
0.12;0.88,0.05;0.95,0.05;0.95,1;0,0.02;0.98,0.07;0.93,0.07;0.93,0.07;0.93,0.07;0.93,0.04;0.96,0.04;0.5,0.04;0.5,0.04;0
0.12;0.88,0.04;0.95,0.05;0.95,0.05;0.95,1;0,0.04;0.96,0.07;0.93,0.07;0.93,0.07;0.93,0.04;0.96,0.04;0.5,0.04;0,0.04;0
0.1;0.75,0.04;0.6,0.04;0.6,0.04;0.6,0.04;0.6,0.2;0.8,0.04;0.96,0.07;0.93,0.07;0.93,0.07;0.93,0.04;0.5,0.04;0,0.04;0
0.1;0.75,0.04;0.1,0.04;0.1,0.04;0.1,0.04;0.1,0.04;0.1,0.1;0.9,0.1;0.9,0.07;0.93,0.07;0.93,0.07;0.93,0.04;0,0.04;0
0.1;0.2,0.04;0,0.04;0,0.04;0,0.04;0,0.04;0,0.04;0.1,0;1,0.1;0.9,0.07;0.93,0.07;0.93,0.07;0.5,0.04;0
0.1;0.2,0.04;0,0.04;0,0;0,0;0,0;0,0.04;0,0.04;0,0;1,0.1;0.9,0.07;0.93,0.07;0.93,0.04;0.5
0.2;0.6,0;0,0;0,0;0,0;0,0;0,0;0,0.04;0,0.04;0,0;1,0.1;0.9,0.07;0.93,0.04;0.5
0.2;0.6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0.04;0,0.04;0,0;1,0.1;0.9,0.04;0.5
0.15;0.2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0.04;0.5
0.15;0.2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1
